,Authors
artivo0,"""De Mello E Souza_ A-"""
artivo1,"""Neto_ A- B- A- | Mourao_ M- G- M- | Castro_ S- P- N- | Maciel_ R- C- | Franco_ A- L- M-"""
artivo2,"""Camanho_ Gilberto Luis"""
artivo3,"""Giulliano Gloria de Sousa | Victória Rodrigues Viegas"""
artivo4,"""Haas_ Celia Maria | Linhares_ Milton"""
artivo5,"""Gilberto Luis Camanho"""
artivo6,"""Souza_ Alberto de Mello E"""
artivo7,"""Régis de Andrade Cardoso"""
artivo8,"""Barbara Bruna Bressiani Cazella_ Acadêmica Do Curso de Direito Da Unoesc Campus de Joaçaba_ Brasil"""
artivo9,"""Coutinho_ Ana Luisa Celino | Siqueira_ Adriana Castelo Branco De"""
artivo10,"""Margarida Maria Lacombe Camargo | Henrique Cunha Rangel"""
artivo11,"""de Mello e Souza_ A-"""
artivo12,"""Bruno Cezar Figueredo | Fátima Aparecida Da Silva Iocca"""
artivo13,"""Ludmila Gonçalves Da Matta"""
artivo14,"""Pessoa_ Flavia Moreira Guimaraes | Andrade_ Layanna Maria Santiago"""
artivo15,"""Paulo Gomes Lima"""
artivo16,"""Marcos Antonio Batista Da Silva"""
artivo17,"""David Junior de Souza Silva"""
artivo18,"""Baez_ Narciso Leandro Xavier"""
artivo19,"""Márcia Cristina Costa"""
artivo20,"""Mário Ângelo Oliveira_Pós-Graduado Em Direito Da Administração Pública (Ufu-MG)| Advogado_ Brasil | Giovanna Cunha Mello_ Pós-Graduada Em Direito Processual Civil (Ufu-MG)- Advogada_ Brasil | Tiago Santos Issa_Pós-Graduado Em Direito Empresarial (Ufu-MG)- Advogado_ Brasil"""
artivo21,"""Chaiane de Medeiros Rosa"""
artivo22,"""Jessica Santana Bruno | Cláudio Orlando Costa Do Nascimento"""
artivo23,"""Tamyris Proenca Bonilha"""
artivo24,"""Benedito Gonçalves Eugenio | Julia Algarra"""
artivo25,"""Pereira_ A-L-C-"""
artivo26,"""Lima_ Antonio Carlos de Souza"""
artivo27,"""Sales Augusto Dos Santos | Eliane Cavalleiro | Maria Inês Barbosa | Matilde Ribeiro"""
artivo28,"""Nunes Do Nascimento Abreu_ Elisangela | Gomes Lima_ Paulo"""
artivo29,"""Cupertino_ Maria Cristina | Maria Doula_ Sheila"""
artivo30,"""Ariane Andreia Teixeira Toubia | Paulo Gomes Lima"""
artivo31,"""Trindade_ Nathália Maria Ariston"""
artivo32,"""Andrea Bayerl Mongim"""
artivo33,"""Santos_ Sales Augusto Dos | Cavalleiro_ Eliane | Barbosa_ Maria Inês Da Silva | Ribeiro_ Matilde"""
artivo34,"""Silva_ Guilherme Henrique Gomes Da"""
