,Title,Authors,referencia,Abstract,Author Keywords,fonte
artivo0,"""Ações afirmativas na universidade pública: comparação entre o sistema de cotas e o sistema de bônus""","""De Mello E Souza_ A-""","""Meta: Avaliacao, September 2012, Vol.4(12), pp.277-288 [Periódico revisado por pares]""","""This article aims to discuss the system of racial quotas in Brazil, considering them as unequal treatment, which aims to promote equality. In the light of the thought of Alexy, it has been proposed to analyze the General Equality Law, to then justify the reasons for the unequal state treatment. Such unequal treatment in such cases will be addressed from the perspective of affirmative action. These measures are promoted in order to promote social redemption of company shares historically segregated. Thus, this study proposes an analysis of the general right to equality in the construction and application of the law.""",,
artivo1,"""Politicas afirmativas na educacao superior: o sistema de cotas na Unimontes.(ARTIGO ORIGINAL)""","""Neto_ A- B- A- | Mourao_ M- G- M- | Castro_ S- P- N- | Maciel_ R- C- | Franco_ A- L- M-""","""Motricidade, April, 2012, Vol.8(S2), p.SS882(6) [Periódico revisado por pares]""","""O presente estudo e parte de uma pesquisa desenvolvida pelo Grupo de Estudos e Pesquisas em Educacao na diversidade e saude que discute a questao das acoes afirmativas na Educacao superior, neste caso a implantacao da politica de reservas de cotas para alunos egressos da escola publica carente nos cursos de Enfermagem e Odontologia, a partir de 2004. Trata-se de uma pesquisa documental, utilizando para coleta de dados uma entrevista semiestruturada, aplicada aos alunos ingressos pelo sistema de cotas dos referidos cursos. A analise dos dados nos permite concluir que apesar da implantacao das cotas na Unimontes representarem um avanco na inclusao de alunos carentes oriundos da escola publica ao ingresso no ensino superior, especificamente, nos cursos supracitados, ainda e necessario acoes politicas internas para estes alunos possam permanecer na universidade e obterem um aprendizado satisfatorio.""","""universidade, politicas educacionais, cotas, escola publica, acesso e permanencia""","""Cengage Learning"""
artivo2,"""Sistema de cotas na RBO""","""Camanho_ Gilberto Luis""","""Revista Brasileira de Ortopedia, March 2013, Vol.48(2), pp.119-120 [Periódico revisado por pares]""","""A liberdade e a igualdade previstas na Declaração Universal dos Direitos do Homem são abordadas neste texto sob enfoque específico. A liberdade como liberdade de escolha profissional e a igualdade sob a ótica de igualdade de acesso à educação superior. O objetivo deste texto é investigar a fundamentação teórica da política de cotas introduzida na educação superior no Brasil pela Lei nº 12.711/12. No desenvolvimento desta pesquisa utilizamos os métodos dedutivo e histórico e, como técnicas de pesquisa, a pesquisa documental e bibliográfica.""","""Liberdade Igualdade Educação Cotas""",Directory of Open Access
artivo3,"""EDUCAÇÃO E AÇÕES AFIRMATIVAS: perfil sociorracial dos estudantes do IFMG campus Governador Valadares""","""Giulliano Gloria de Sousa | Victória Rodrigues Viegas""","""REVES - Revista Relações Sociais, 01 December 2018, Vol.1(4), pp.0608-0622 [Periódico revisado por pares]""","""O presente artigo analisa a composição sociorracial dos estudantes do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais (IFMG) – campus Governador Valadares. O objetivo é identificar o perfil dos discentes com relação aos critérios de cor/raça e condição socioeconômica. O IFMG garante, em seu processo seletivo, reserva de vagas para candidatos oriundos de escola pública, negros e de baixa renda, conforme a Lei nº 12.711/2012. A eficácia das ações afirmativas de ingresso de estudantes nas instituições públicas federais de ensino deve ser verificada através de políticas institucionais de acompanhamento dos alunos ingressantes pelo sistema de cotas. Dessa forma, reunimos e analisamos dados dos estudantes, através das informações cadastradas no sistema de registro acadêmico (Conecta), que constituem importantes fontes para o acompanhamento e avaliação das políticas institucionais do IFMG, de modo geral, e mais especificamente do campus Governador Valadares, relacionadas... """,,Directory of Open Access
artivo4,"""Políticas públicas de ações afirmativas para ingresso na educação superior se justificam no Brasil?""","""Haas_ Celia Maria | Linhares_ Milton""","""Revista Brasileira de Estudos Pedagógicos, 01 December 2012, Vol.93(235), pp.836-863 [Periódico revisado por pares]""","""Tem por finalidade analisar o sistema de cotas, uma das ações afirmativas de políticas públicas que visam a assegurar o ingresso, no ensino superior, de segmentos sociais discriminados. No Brasil, a gritante desigualdade social, o preconceito, a baixa qualidade da educação oferecida nas escolas públicas de ensino fundamental e médio, a pobreza e a marginalização aprofundam e perpetuam a discriminação e dificultam o acesso ao ensino superior. Neste contexto, o sistema de cotas, desde que não baseado exclusivamente no critério de raça, sem ferir a autonomia universitária e com mecanismos para garantir a aprendizagem e permanência dos cotistas, pode contribuir para resgatar a dignidade da pessoa humana, reparar injustiças históricas contra determinado grupo social e concretizar o preceito constitucional de igualdade de direitos e de oportunidades para todos os cidadãos. """,,"""SciELO SciELO"""
artivo5,"""Quota system in the RBO Sistema de cotas na RBO""","""Gilberto Luis Camanho""","""Revista Brasileira de Ortopedia, 01 April 2013, Vol.48(2), pp.119-120 [Periódico revisado por pares]""","""""",,Directory of Open Access
artivo6,"""Desempenho dos candidatos no vestibular e o sistema de cotas na UERJ""","""Souza_ Alberto de Mello E""","""Ensaio: Avaliação e Políticas Públicas em Educação, 01 December 2012, Vol.20(77), pp.701-724 [Periódico revisado por pares]""","""A reforma mais profunda ocorrida nas universidades públicas na última década diz respeito à introdução de programas de ação afirmativa, para ampliar as oportunidades de negros de ingressarem na universidade. Recentemente, está ocorrendo a preocupação de ampliar os beneficiários, incluindo os candidatos que tenham cursado o ensino médio em escolas públicas. Existe uma diversidade de programas, refletindo a autonomia das universidades em definirem, principalmente, o grupo focal e o mecanismo de favorecer os estudantes nesse grupo. Esse mecanismo pode ser o sistema de cotas ou o sistema de bônus. O sistema de cotas reserva um percentual das vagas em cada carreira para os candidatos cotistas classificados; já o bônus acresce à pontuação do candidato cotista um percentual que pode ser fixo ou variável. No caso do bônus, os beneficiários são estudantes que cursaram o ensino médio. É inevitável que haja um conflito entre eficiência e equidade na implantação de um sistema de cotas. A perda de eficiência está na seleção de candidatos com uma pontuação menor. Neste caso, a pontuação obtida no vestibular é vista como um indicador de desempenho no curso. O ganho na equidade reflete as maiores oportunidades de acesso para os cotistas. Os resultados empíricos reforçam a importância do ambiente familiar no desempenho dos candidatos. Ambiente familiar é retratado pela escolaridade paterna e pela renda familiar. O prestígio acadêmico, medido pela pontuação dos candidatos inscritos em cada carreira, também tem um comportamento expressivo e, ao que parece, representa o capital cultural exigido em cada carreira. Os candidatos que escolhem as carreiras de maior prestígio têm maiores chances de ser aprovados. Uma possível correlação entre as variáveis que representam dimensões do ambiente familiar, incluindo o prestígio das carreiras, não foi observada. Com respeito às variáveis da escola, somente o turno noturno mostrou-se significativo e com o sinal negativo esperado.""",,
artivo7,"""A (IN) CONSTITUCIONALIDADE DO SISTEMA DE COTAS PARA NEGROS INSTITUÍDOS NO BRASIL""","""Régis de Andrade Cardoso""","""Revista Direitos Culturais, 01 May 2011, Vol.5(9), pp.191-204 [Periódico revisado por pares]""","""Este artigo trata da constitucionalidade do sistema de cotas instituído no Brasil que visa atribuir a população afro-brasileira um número de vagas nos cursos de graduação oferecidos pelas universidades brasileiras. É notória a represália sofrida pelos negros em tempos passados, motivo que gerou uma grande desigualdade entre eles e o branco em vários aspectos. Todavia, a Constituição Federal vigente não estabeleceu distinção no acesso a direitos referente a cor ou raça. Portanto, neste artigo procurou-se demonstrar se o referido sistema está de acordo com os preceitos constitucionais vigentes, bem como, se este se caracteriza como um privilégio ou equidade. Utilizou-se como procedimentos metodológicos a revisão bibliográfica, a qual sucedeu-se por meios de estudos em obras doutrinárias... """,,Directory of Open Access
artivo8,"""O sistema de cotas raciais para negros nas universidades públicas brasileiras""","""Barbara Bruna Bressiani Cazella_ Acadêmica Do Curso de Direito Da Unoesc Campus de Joaçaba_ Brasil""","""Espaço Jurídico, 01 August 2012, Vol.13(2), pp.373-394 [Periódico revisado por pares]""","""Este trabalho propõe como tema de estudo a lei de cotas raciais, em especial as cotas para negros nas universidades públicas brasileiras. O estudo trata do princípio da igualdade, sua diferenciação em igualdade material e formal e a análise deste princípio na Constituição Federal. Após, fez-se... """,,Directory of Open Access
artivo9,"""Liberdade e igualdade no sistema de cotas""","""Coutinho_ Ana Luisa Celino | Siqueira_ Adriana Castelo Branco De""","""Direito e desenvolvimento : revista do curso de direito, 2016, Issue 13, pp.137-154 [Periódico revisado por pares]""","""A liberdade e a igualdade previstas na Declaração Universal dos Direitos do Homem são abordadas neste texto sob enfoque específico. A liberdade como liberdade de escolha profissional e a igualdade sob a ótica de igualdade de acesso à educação superior. O objetivo deste texto é investigar a fundamentação teórica da política de cotas introduzida na educação superior no Brasil pela Lei nº 12.711/12. No desenvolvimento desta pesquisa utilizamos os métodos dedutivo e histórico e, como técnicas de pesquisa, a pesquisa documental e bibliográfica. """,,"""Fundación Dialnet"""
