,Source,Target,Type,Label
0,auth0000,auth0000,undirected,artivo0
1,auth0001,auth0002,undirected,artivo1
2,auth0001,auth0003,undirected,artivo1
3,auth0001,auth0004,undirected,artivo1
4,auth0001,auth0005,undirected,artivo1
5,auth0002,auth0003,undirected,artivo1
6,auth0002,auth0004,undirected,artivo1
7,auth0002,auth0005,undirected,artivo1
8,auth0003,auth0004,undirected,artivo1
9,auth0003,auth0005,undirected,artivo1
10,auth0004,auth0005,undirected,artivo1
11,auth0006,auth0006,undirected,artivo2
12,auth0007,auth0008,undirected,artivo3
13,auth0009,auth0010,undirected,artivo4
14,auth0011,auth0011,undirected,artivo5
15,auth0012,auth0012,undirected,artivo6
16,auth0013,auth0013,undirected,artivo7
17,auth0014,auth0014,undirected,artivo8
18,auth0015,auth0016,undirected,artivo9
19,auth0017,auth0018,undirected,artivo10
20,auth0019,auth0019,undirected,artivo11
21,auth0020,auth0021,undirected,artivo12
22,auth0022,auth0022,undirected,artivo13
23,auth0023,auth0024,undirected,artivo14
24,auth0025,auth0025,undirected,artivo15
25,auth0026,auth0026,undirected,artivo16
26,auth0027,auth0027,undirected,artivo17
27,auth0028,auth0028,undirected,artivo18
28,auth0029,auth0029,undirected,artivo19
29,auth0030,auth0031,undirected,artivo20
30,auth0030,auth0032,undirected,artivo20
31,auth0030,auth0033,undirected,artivo20
32,auth0031,auth0032,undirected,artivo20
33,auth0031,auth0033,undirected,artivo20
34,auth0032,auth0033,undirected,artivo20
35,auth0034,auth0034,undirected,artivo21
36,auth0035,auth0036,undirected,artivo22
37,auth0037,auth0037,undirected,artivo23
38,auth0038,auth0039,undirected,artivo24
39,auth0040,auth0040,undirected,artivo25
40,auth0041,auth0041,undirected,artivo26
41,auth0042,auth0043,undirected,artivo27
42,auth0042,auth0044,undirected,artivo27
43,auth0042,auth0045,undirected,artivo27
44,auth0043,auth0044,undirected,artivo27
45,auth0043,auth0045,undirected,artivo27
46,auth0044,auth0045,undirected,artivo27
47,auth0046,auth0047,undirected,artivo28
48,auth0048,auth0049,undirected,artivo29
49,auth0050,auth0051,undirected,artivo30
50,auth0052,auth0052,undirected,artivo31
51,auth0053,auth0053,undirected,artivo32
52,auth0054,auth0055,undirected,artivo33
53,auth0054,auth0056,undirected,artivo33
54,auth0054,auth0057,undirected,artivo33
55,auth0055,auth0056,undirected,artivo33
56,auth0055,auth0057,undirected,artivo33
57,auth0056,auth0057,undirected,artivo33
58,auth0058,auth0058,undirected,artivo34
59,auth0059,auth0060,undirected,artivo35
60,auth0061,auth0061,undirected,artivo36
61,auth0062,auth0063,undirected,artivo37
62,auth0064,auth0065,undirected,artivo38
63,auth0064,auth0066,undirected,artivo38
64,auth0065,auth0066,undirected,artivo38
65,auth0067,auth0068,undirected,artivo39
66,auth0067,auth0066,undirected,artivo39
67,auth0068,auth0066,undirected,artivo39
