id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
1	abolition	1.3609	0.0557	1	45	59	4
2	aborda	-0.7726	0.0309	2	75	115	8
3	abordagem qualitativa	-0.4633	-0.249	3	80	134	6
4	acao afirmativa	-1.1847	0.3258	4	97	244	10
5	access	1.1024	-0.052	1	138	519	22
6	accione	-0.2644	-0.178	2	48	99	8
7	acerca	-0.5613	0.063	2	120	233	16
8	acesso	-0.4276	-0.0493	3	194	466	23
9	aco	-0.5142	-0.0189	3	416	3254	203
10	acoes afirmativa	-1.1067	0.3083	4	80	165	8
11	acoes afirmativas	-0.4817	0.2207	4	189	396	20
12	action	1.379	0.0051	1	132	388	19
13	activity	1.4249	-0.0198	1	49	102	5
14	actor	1.4292	0.0484	1	46	200	8
15	administracao	-0.1643	-0.1986	2	80	205	9
16	affirmative action	1.3462	-0.0165	1	194	1071	48
17	affirmative action policy	1.3514	0.0001	1	81	158	8
18	afirmativa	-0.2742	-0.027	3	165	363	23
19	afirmativas	-0.3392	0.0589	2	100	150	13
20	africa	0.2538	0.0189	2	70	123	8
21	agenda	0.4582	0.0004	1	133	239	12
22	aim	1.4444	-0.0696	1	67	139	7
23	alcance	-0.579	-0.142	2	44	67	4
24	alem	-0.4696	-0.1682	3	99	191	9
25	alem disso	-0.8535	-0.2065	3	57	79	4
26	aluno	-0.7145	-0.1156	7	187	713	33
27	ambiente	-0.9843	-0.1505	6	51	76	4
28	ambito	-0.3357	0.0167	3	172	316	20
29	america	0.2647	0.0197	2	48	57	4
30	america latina	-0.0704	-0.1062	2	72	155	12
31	amostra	-0.595	-0.2039	5	58	114	6
32	analisa	-0.2189	-0.0748	3	166	351	21
33	analisar	-0.6736	-0.067	3	204	475	27
34	analise	-0.7494	-0.0612	3	288	1118	58
35	analise dos dado	-0.9357	-0.2078	3	38	75	4
36	analysis	1.1256	0.0098	1	226	749	31
37	ano	-0.4426	-0.0415	3	310	1072	61
38	apena	-0.5613	0.0208	3	107	175	11
39	apesar	-0.5776	-0.203	3	106	202	12
40	apo	-0.554	-0.2324	3	92	148	7
41	apos	-0.6402	-0.2031	6	58	93	5
42	area	-0.6093	-0.1501	3	168	545	29
43	argument	1.4739	-0.0408	1	44	166	10
44	argumenta se que	-1.3763	0.4521	4	44	150	5
45	art	0.9576	-0.0563	1	55	120	5
46	article	1.2265	0.0321	1	246	1048	72
47	articulo	-0.2505	-0.1125	3	62	112	9
48	artigo	-0.6765	0.1522	4	248	673	34
49	asexuality	1.5019	0.0979	1	16	110	5
50	aspect	1.3144	-0.0401	1	111	251	8
51	assim	-0.7405	0.0369	2	220	580	28
52	atrafe	-0.4227	-0.1558	3	186	427	23
53	atuacao	-0.7251	0.0224	2	70	102	8
54	atualmente	-0.7141	0.1225	7	45	86	4
55	author	1.6009	0.0484	1	30	88	5
56	bahia	0.2532	0.0021	5	107	241	11
57	balance	1.2887	0.1003	1	56	88	4
58	basica	-0.8442	-0.0949	2	53	104	7
59	bem como	-0.8035	-0.0238	2	75	128	7
60	benefit	1.5968	-0.0439	1	58	203	8
61	black	1.3503	-0.0607	1	86	200	11
62	black movement	1.1812	0.0059	1	72	136	6
63	black population	1.4406	0.0218	1	69	230	10
64	black woman	1.564	0.059	1	80	386	19
65	bogota	0.4859	-0.0353	1	11	24	5
66	branco	-0.6774	-0.0203	2	126	336	18
67	branquitude acritica	-0.4005	0.0102	3	8	32	4
68	brasil	-0.4028	0.0341	2	459	3043	205
69	brasil contemporaneo	-0.7635	0.0847	2	59	89	6
70	brasil e	-0.2128	-0.0132	3	104	252	15
71	brasileira	-0.3532	0.019	6	326	1208	75
72	brasileiro	-0.3044	0.0324	2	311	1003	65
73	brasilia	-0.8263	0.0104	6	110	341	17
74	brazil	1.2326	0.0352	1	254	1366	82
75	brazilian society	1.1996	0.0536	1	92	138	7
76	camara dos deputados	-0.9026	-0.0099	2	10	36	4
77	campo	-0.567	0.0036	3	99	199	16
78	campo da	0.0028	0.0892	2	72	103	6
79	candidate	1.0939	0.0855	1	28	83	5
80	candidato	-0.9806	-0.2098	6	70	205	9
81	capital	0.5296	-0.1135	1	54	189	10
82	capitalismo	-0.3988	0.1806	2	30	52	4
83	career	0.951	-0.0564	1	63	108	4
84	cargo	-0.3768	-0.2067	2	51	117	5
85	carreira	-1.0568	-0.1646	6	36	128	4
86	case	1.1797	0.0539	1	98	243	16
87	caso	-0.5554	-0.131	6	163	380	24
88	cenario brasileiro	-0.8897	-0.1001	3	54	102	4
89	centro	-0.7078	0.028	2	57	80	5
90	challenge	1.1022	0.016	1	117	219	10
91	child	1.5881	-0.0424	1	13	115	5
92	cidadania	-0.513	-0.0249	3	119	215	14
93	cidadao	-0.6288	0.0174	2	93	145	9
94	cinema	0.9379	-0.0435	1	41	165	6
95	city	1.3198	0.0253	1	76	173	10
96	class	0.8516	0.0665	1	114	254	16
97	coletado	-0.7368	-0.2756	3	44	82	4
98	colombia	0.4765	0.0082	1	68	149	10
99	com deficiencia	-0.5251	-0.2441	3	107	446	20
100	com enfase	-0.4233	-0.1441	3	39	58	5
101	com renda	-0.2268	-0.3427	3	19	116	4
102	combate	-0.3089	0.0066	2	107	201	13
103	como	-0.5433	-0.0137	2	410	3191	197
104	como resultado	-0.5261	-0.1471	2	46	72	4
105	comunidade	-0.6198	0.0126	2	112	216	16
106	conceito	-0.4825	-0.0041	3	197	508	29
107	concentraram	-1.4223	0.467	4	35	139	4
108	concepco	-0.8188	-0.0758	3	109	218	10
109	concept	1.2782	0.0389	1	125	300	15
110	concluimos que	-0.2611	-0.2267	3	62	81	4
111	condico	-0.5588	-0.0394	2	159	353	17
112	condition	1.3414	0.0575	1	56	203	6
113	conflito	-0.5853	-0.0221	2	81	162	12
114	conpedi	1.2354	-0.0664	1	19	160	5
115	consequence	1.4783	0.0505	1	38	76	6
116	consideraco	-0.7459	-0.0819	2	59	111	7
117	considerando	-0.8615	-0.0503	2	79	127	7
118	constitucionalidade	-0.8684	0.0514	2	70	125	8
119	constituicao	-0.3968	0.1566	2	35	46	5
120	construcao	-0.5856	0.1125	2	171	408	25
121	construction	1.4404	0.0751	1	74	123	6
122	construido	-0.9478	0.1832	4	28	76	6
123	conteudo	-0.7888	-0.0839	3	85	137	6
124	context	1.322	0.0176	1	166	493	23
125	contexto	-0.6952	0.0575	6	180	462	27
126	contra	-0.325	0.1019	2	197	530	30
127	contra argumentar apena	-1.4226	0.4685	4	35	139	4
128	contribuicao	-0.7973	-0.1782	3	72	123	8
129	contribuico	-0.4834	0.0327	2	109	171	9
130	contribuir para	-0.7726	-0.0186	3	95	168	9
131	contribution	1.2915	0.0936	1	66	187	10
132	controversia	-0.7645	-0.0711	3	74	107	7
133	contudo	-0.3218	0.2095	2	123	258	13
134	convencao	-0.3311	-0.0554	2	53	95	5
135	cota	-0.7876	0.0553	6	337	2504	122
136	cotas	-0.1596	-0.1715	3	128	298	19
137	cotas e	0.4519	-0.0124	1	71	93	5
138	cotas para	-0.0663	0.0225	2	95	181	9
139	cotas para negro	-0.9108	-0.2543	3	56	109	6
140	cotas podera gerar conflito	-1.4201	0.4706	4	35	139	4
141	cotidiano	-0.2453	-0.2492	3	33	75	4
142	cotista	-0.9342	-0.1651	6	122	357	15
143	country	1.2769	0.0881	1	86	220	12
144	course	1.1955	-0.0321	1	92	211	8
145	criacao	0.1184	0.0164	2	73	97	5
146	cultura	-0.5704	-0.0162	2	117	325	20
147	culture	1.499	0.0083	1	63	208	9
148	curriculo	-0.4492	0.0024	2	70	269	10
149	curso	-0.8014	0.0394	7	193	755	39
150	dado	-0.5429	-0.1	3	188	483	24
151	das cota	-0.7798	-0.216	5	122	381	22
152	das desigualdade	0.1986	0.1087	2	96	179	11
153	das diferenca	-0.7993	-0.1058	2	24	60	4
154	das paa	-0.9723	-0.3052	3	12	48	4
155	das politica	-0.6668	0.1871	4	152	260	11
156	data	1.4076	-0.0188	1	121	421	18
157	debate	0.271	0.0143	1	353	1442	80
158	debate sobre racismo	-0.4759	-0.1165	3	51	85	5
159	debater	-1.0721	0.3652	4	84	208	7
160	decada	-0.5178	0.1361	2	84	132	11
161	decision	1.4001	0.0944	1	32	90	5
162	deficiencia	-0.7299	-0.2428	3	71	183	10
163	dem	0.0762	0.2624	6	24	64	4
164	demand	1.43	-0.0143	1	114	288	13
165	demanda	-0.7308	-0.1269	3	194	520	28
166	democracy	1.3057	0.0934	1	33	67	6
167	democratizacao	-0.3928	-0.1538	3	133	268	14
168	desafio	-0.5373	0.0585	2	226	709	44
169	descumprimento	-0.623	0.3941	6	20	56	4
170	desde	-0.2085	-0.0298	2	75	115	9
171	desigualdade	-0.7369	0.2861	4	159	474	26
172	deste	-0.6863	0.1334	7	54	77	8
173	development	1.1334	0.0145	1	79	146	7
174	dialogo	-0.7953	0.0183	3	59	109	7
175	dialogue	1.3871	0.0708	1	54	91	6
176	diante	-0.8772	-0.1874	3	57	106	7
177	diaspora	0.3736	0.1014	2	47	91	6
178	diaspora africana	-0.1965	0.0735	2	52	71	4
179	diferenca	-0.2502	-0.1416	5	195	470	21
180	diferente	-0.1077	0.0705	2	100	155	12
181	difference	1.3155	-0.026	1	104	284	13
182	dificuldade	-0.2969	-0.1776	3	156	280	12
183	dinamica	-0.573	-0.2302	3	74	139	8
184	diploma	0.2258	-0.0012	2	60	82	4
185	direito	-0.4417	-0.0109	2	265	1145	71
186	direitos humano	-0.473	-0.0356	2	101	367	29
187	direitos humanos	-0.3464	-0.0558	2	48	178	12
188	diretrizes e base	-0.1854	-0.0242	2	67	108	5
189	disability	1.545	-0.0498	1	45	133	5
190	discriminacao	-0.2685	0.012	2	175	380	29
191	discriminacion	-0.4616	-0.2221	2	16	48	4
192	discrimination	1.4305	0.0558	1	63	213	14
193	discurso	-0.6059	0.0928	6	133	342	20
194	discussao	-0.8581	-0.0178	2	114	191	9
195	discussion	1.2888	0.0322	1	93	230	11
196	discusso	-0.3163	0.0248	2	86	170	8
197	discute se	-0.1028	-0.0472	2	69	141	7
198	discutir	-0.4775	0.052	2	110	226	15
199	dissertacoes e	-0.7886	0.2255	5	24	128	4
200	distancia	-0.8593	-0.147	3	28	78	4
201	diversidade	-0.6404	-0.0907	3	161	495	25
202	dos candidato	-0.9018	-0.1412	6	87	237	13
203	dos direito	-0.285	-0.0618	2	122	264	19
204	dos movimento	-0.7337	0.2551	2	63	128	9
205	dos negro	-0.6613	0.1123	2	56	89	5
206	dropout rate	1.6224	-0.0727	1	28	230	5
207	durban	0.5599	0.0139	1	63	88	5
208	dx doi org	-0.7875	0.4265	4	52	72	7
209	e aco	-0.5308	0.0737	2	132	255	17
210	e indigena	-0.7605	-0.1672	3	84	237	10
211	e nao raciais	-0.7825	-0.3033	5	17	88	4
212	educacao	-0.5054	0.005	2	239	805	45
213	educacao superior	-0.7102	-0.0863	3	66	144	8
214	education	1.1363	-0.0374	1	164	507	21
215	efetivacao	-0.4883	-0.1656	3	70	113	7
216	efetividade	-0.5715	-0.1906	2	70	107	7
217	effect	1.5355	-0.045	1	38	65	5
218	embora	-1.2094	0.3638	4	71	187	8
219	emergence	1.5164	0.084	1	53	86	4
220	emergencia	-0.3168	0.1253	2	69	110	8
221	empresa	-0.1245	-0.2206	2	75	194	8
222	ensayo	-0.4662	-0.1603	3	132	226	12
223	ensino	-0.7954	0.0928	4	229	723	36
224	ensino superior	-0.4307	-0.0225	3	132	284	14
225	ensino superior publico	-1.3101	0.4268	4	53	167	6
226	entanto	-0.5626	0.0138	3	137	293	11
227	entrevista	-0.581	-0.2438	3	158	365	18
228	equality	1.1432	0.0105	1	118	244	12
229	equidade	-0.3366	0.0091	6	120	318	16
230	escola	-1.0133	0.1267	4	156	505	23
231	escola publica	-0.4399	0.1395	7	60	97	5
232	espaco	-0.5526	0.0386	2	122	186	13
233	essay	0.9985	-0.0128	1	42	97	6
234	estado	-0.6256	0.1202	4	310	1044	64
235	estado democratico	-0.4194	-0.1714	2	49	79	5
236	estado para	-1.4218	0.4703	4	35	139	4
237	este artigo	-0.2848	-0.029	2	160	305	21
238	este artigo analisa	-0.9149	-0.0703	3	48	78	4
239	estrategia	-0.5619	0.0351	2	152	326	18
240	estudante	-0.6925	-0.0129	5	201	862	43
241	estudo	-0.4514	-0.088	3	185	569	29
242	exclusao	-0.655	0.0266	2	66	89	4
243	existencia	-0.5103	-0.0686	2	84	177	9
244	experiencia	-0.5429	-0.0421	2	101	163	13
245	expression	1.3098	0.1361	1	32	116	6
246	extent	1.1202	-0.0148	1	49	75	4
247	factor	1.153	0.0012	1	70	136	9
248	familia	-0.3317	0.2619	5	69	156	8
249	favor	-0.1808	-0.1817	5	64	108	4
250	favoraveis	-0.883	-0.2548	3	44	134	6
251	federal institute	1.512	-0.0271	1	43	156	5
252	federal university	1.0517	-0.0472	1	106	185	7
253	field	1.387	-0.0065	1	101	277	9
254	fim	-0.534	-0.0475	2	150	339	21
255	foco	-0.4625	-0.0478	2	68	105	7
256	form	1.3743	0.0622	1	95	199	10
257	forma	0.1876	-0.0117	3	123	241	16
258	formacao	-0.4661	-0.1958	3	42	76	5
259	freedom	1.2505	0.1412	1	14	80	4
260	garantir	-0.1677	-0.0961	3	143	252	11
261	gay	0.6226	0.0042	1	40	50	4
262	gender	1.3858	0.0619	1	89	357	14
263	genero	-0.4882	-0.0954	3	208	734	41
264	geral	-0.4919	-0.1565	3	115	200	11
265	gestao da diversidade	-0.5433	-0.341	3	47	223	7
266	goal	1.106	-0.015	1	87	131	6
267	governo	-0.6413	-0.155	3	105	227	14
268	governo lula	-0.6914	-0.0867	3	61	143	8
269	graduacao	-0.7191	0.0032	3	68	103	6
270	group	1.1852	0.0121	1	129	376	21
271	grupo	-0.7937	0.0589	2	143	317	18
272	grupos	-0.8161	-0.0501	3	81	116	6
273	hasenbalg	0.885	0.0743	1	9	66	10
274	health	1.1594	-0.0094	1	90	325	14
275	health service	1.536	0.0068	1	13	72	4
276	higher education	0.9597	-0.0332	1	136	456	25
277	historia	-0.2047	0.0951	2	169	328	17
278	history	1.4557	0.0504	1	104	229	10
279	hoje	-0.556	0.2366	2	67	150	9
280	humanidades	-0.7506	-0.1788	2	48	86	5
281	humano	-0.2269	-0.1203	2	87	246	17
282	idea	1.4469	0.0567	1	105	242	10
283	ideia	-0.8046	0.0266	3	108	210	12
284	identidade	-0.6437	0.0852	2	126	319	19
285	identity	1.4946	0.0742	1	75	213	13
286	ifba	1.5674	-0.0337	1	26	206	7
287	ifmg	0.9063	0.0372	1	30	88	4
288	igualdade	-0.6318	-0.0643	2	165	533	34
289	igualdade e	0.368	-0.0447	1	63	100	5
290	igualdade material	-0.6668	-0.1762	3	44	63	4
291	impacto	-0.1777	-0.1312	3	52	82	6
292	implementada	-0.6967	-0.0013	2	52	77	6
293	implementation	1.4068	0.0706	1	74	161	9
294	importancia	-0.9688	0.187	4	158	422	20
295	inclusao	-0.7586	-0.1707	3	73	143	6
296	inclusion	0.8493	-0.0498	1	108	180	9
297	inclusp	-0.9757	0.377	5	22	171	6
298	indigena	-0.2477	-0.1013	2	178	743	41
299	indigenous people	0.6507	-0.041	1	43	96	5
300	inequality	1.3945	0.0632	1	90	306	17
301	informacao	-0.7665	0.0693	2	69	121	7
302	ingressaram	-0.9081	0.2289	5	86	230	10
303	ingresso	-0.7351	0.1143	7	96	193	10
304	inicialmente	-0.7544	-0.124	2	81	158	9
305	insercao	-0.7141	-0.2073	3	103	164	8
306	insercao entre	-1.4211	0.4673	4	35	139	4
307	instituico	-0.6445	-0.0441	3	146	313	18
308	institution	1.1593	-0.038	1	119	385	17
309	interior	-0.6488	0.2295	2	62	104	6
310	interview	1.4007	0.0808	1	74	133	7
311	intolerance	1.2903	0.0659	1	64	147	7
312	introducao	-0.9112	-0.0319	2	55	97	6
313	introduction	1.1778	-0.0099	1	51	85	5
314	intuito	-0.6188	-0.1194	2	50	67	4
315	investigacao	-0.3461	-0.2019	3	69	105	5
316	investigar	-0.4593	0.0341	2	89	150	12
317	issue	1.4492	0.031	1	149	545	21
318	janeiro	0.1841	0.0468	1	90	193	14
319	joven	-0.4866	0.0789	2	103	217	13
320	justica	-0.3402	-0.0873	3	158	290	15
321	keywords	1.026	0.0369	1	121	228	10
322	latin america	1.297	0.0736	1	57	117	9
323	law	1.228	-0.0437	1	158	817	30
324	lei	-0.3867	-0.1604	3	219	674	35
325	lei maria da penha	-0.8641	0.0166	2	21	120	5
326	leis	-0.6209	0.0368	2	51	117	7
327	liberdade	-0.058	0.1133	2	85	185	12
328	light	1.3017	0.105	1	52	91	6
329	literatura	-0.2488	-0.0466	3	147	274	15
330	literature	1.3612	0.0097	1	91	251	11
331	luta	-0.4073	0.0599	2	76	120	10
332	luz	0.1803	-0.05	3	129	213	10
333	mai	-0.6869	0.1511	7	44	63	4
334	maranhao	-0.7818	0.2397	2	42	114	5
335	measure	1.5203	0.0405	1	37	69	4
336	medicina	-0.7506	0.0515	7	82	186	10
337	medida	-0.556	-0.0773	3	147	329	18
338	mercado	-0.6313	-0.0826	2	142	383	21
339	mesmo	-0.424	-0.1923	3	76	122	8
340	metodologia	-0.2792	-0.1712	3	90	147	11
341	mexico	0.2961	0.0735	2	30	68	4
342	michel foucault	1.1234	0.0934	1	36	74	5
343	midium	-1.0016	-0.3335	5	13	56	4
344	minas gerais	0.1321	-0.1111	3	82	191	12
345	minimizar	-1.3818	0.444	4	42	154	5
346	ministry	1.1372	-0.0571	1	48	97	4
347	modelo	-0.7576	-0.1507	3	81	139	8
348	momento	-0.6964	0.138	6	72	156	7
349	movement	1.3713	0.0659	1	109	296	17
350	movimento	-0.6345	0.1045	2	111	207	15
351	movimento negro	-0.7154	0.1811	2	77	128	8
352	mudanca	-0.7581	-0.0445	3	47	95	6
353	mulher negra	-0.7578	0.2263	2	46	75	4
354	mulhere	-0.5782	-0.036	2	198	770	46
355	mulheres	-0.4771	-0.1678	2	59	132	7
356	mulheres negra	0.1224	0.0981	2	74	124	9
357	mulheres negras	-0.7749	0.2284	2	32	130	7
358	municipality	1.5057	-0.0078	1	65	121	6
359	municipio	-0.066	-0.1066	3	33	61	6
360	nas universidade	-0.4144	-0.0784	3	168	424	23
361	necessidade	-0.3108	0.1783	2	56	96	6
362	need	1.5542	0.0568	1	78	175	7
363	negra	-0.4629	0.1354	2	188	524	32
364	negro	-0.5691	0.141	2	332	1451	86
365	negros e branco	-1.354	0.4414	4	50	157	5
366	nem	-0.2975	-0.1037	3	27	73	5
367	nesse sentido	-0.6317	-0.0115	2	126	288	16
368	neste artigo	-0.4205	-0.1245	3	125	274	18
369	neste sentido	-0.7187	-0.2027	5	83	152	8
370	norte	-0.6752	0.0046	7	70	120	7
371	numero	-0.9354	0.3185	5	55	114	6
372	objective	1.3233	-0.0249	1	87	200	11
373	obstaculo	-0.6798	-0.1449	2	49	110	8
374	older worker	1.2164	-0.0585	1	20	135	5
375	oportunidade	-0.6145	-0.214	6	86	164	9
376	opportunity	1.2504	0.0057	1	78	136	7
377	order	1.2996	0.0106	1	135	368	17
378	organizacao	-0.0523	-0.0922	3	141	321	16
379	organizaco	-0.452	-0.1717	3	132	401	21
380	organization	1.2793	0.0112	1	110	357	19
381	os autore	-1.3402	0.4114	4	50	157	6
382	os dado	-0.6772	-0.2102	3	134	285	15
383	os resultado	-0.7819	-0.2353	3	202	565	27
384	os resultados indicam que	-0.4307	-0.239	2	49	111	4
385	outra	-0.7392	-0.1209	3	91	149	8
386	outro	-0.656	-0.0957	2	105	196	14
387	pai	-0.4666	-0.1368	3	80	146	9
388	pais	-0.3601	0.1109	2	109	201	14
389	pais e	-0.7526	-0.2614	3	45	78	4
390	paise	-0.4683	-0.1924	3	97	193	11
391	papel	-1.0581	0.2912	4	164	520	21
392	paper	1.3273	-0.0009	1	157	498	26
393	para reduzir	-1.2604	0.4309	4	68	220	7
394	paradigma	0.5189	-0.0373	1	45	91	7
395	parana	0.1936	-0.1149	3	63	157	11
396	pardo	0.0143	-0.2094	3	87	179	9
397	parte	-0.5807	0.1326	2	164	373	24
398	participacao	-0.4572	-0.0689	3	95	169	12
399	particulare	-1.2592	0.3804	4	63	197	8
400	partindo	-0.6387	0.048	2	44	57	5
401	partir	-0.4916	-0.0099	2	380	1711	104
402	percepco	-0.6038	-0.1549	3	87	124	6
403	perception	1.585	-0.028	1	35	85	5
404	perfil socioeconomico	-0.9404	0.2613	5	41	92	4
