,0
auth0000,De Mello E Souza_ A-
auth0001,Neto_ A- B- A- 
auth0002, Mourao_ M- G- M- 
auth0003, Castro_ S- P- N- 
auth0004, Maciel_ R- C- 
auth0005, Franco_ A- L- M-
auth0006,Camanho_ Gilberto Luis
auth0007,Giulliano Gloria de Sousa 
auth0008, Victória Rodrigues Viegas
auth0009,Haas_ Celia Maria 
auth0010, Linhares_ Milton
auth0011,Gilberto Luis Camanho
auth0012,Souza_ Alberto de Mello E
auth0013,Régis de Andrade Cardoso
auth0014,Barbara Bruna Bressiani Cazella_ Acadêmica Do Curso de Direito Da Unoesc Campus de Joaçaba_ Brasil
auth0015,Coutinho_ Ana Luisa Celino 
auth0016, Siqueira_ Adriana Castelo Branco De
auth0017,Margarida Maria Lacombe Camargo 
auth0018, Henrique Cunha Rangel
auth0019,de Mello e Souza_ A-
auth0020,Bruno Cezar Figueredo 
auth0021, Fátima Aparecida Da Silva Iocca
auth0022,Ludmila Gonçalves Da Matta
auth0023,Pessoa_ Flavia Moreira Guimaraes 
auth0024, Andrade_ Layanna Maria Santiago
auth0025,Paulo Gomes Lima
auth0026,Marcos Antonio Batista Da Silva
auth0027,David Junior de Souza Silva
auth0028,Baez_ Narciso Leandro Xavier
auth0029,Márcia Cristina Costa
auth0030,Mário Ângelo Oliveira_Pós-Graduado Em Direito Da Administração Pública (Ufu-MG)
auth0031, Advogado_ Brasil 
auth0032, Giovanna Cunha Mello_ Pós-Graduada Em Direito Processual Civil (Ufu-MG)- Advogada_ Brasil 
auth0033, Tiago Santos Issa_Pós-Graduado Em Direito Empresarial (Ufu-MG)- Advogado_ Brasil
auth0034,Chaiane de Medeiros Rosa
auth0035,Jessica Santana Bruno 
auth0036, Cláudio Orlando Costa Do Nascimento
auth0037,Tamyris Proenca Bonilha
auth0038,Benedito Gonçalves Eugenio 
auth0039, Julia Algarra
auth0040,Pereira_ A-L-C-
auth0041,Lima_ Antonio Carlos de Souza
auth0042,Sales Augusto Dos Santos 
auth0043, Eliane Cavalleiro 
auth0044, Maria Inês Barbosa 
auth0045, Matilde Ribeiro
auth0046,Nunes Do Nascimento Abreu_ Elisangela 
auth0047, Gomes Lima_ Paulo
auth0048,Cupertino_ Maria Cristina 
auth0049, Maria Doula_ Sheila
auth0050,Ariane Andreia Teixeira Toubia 
auth0051, Paulo Gomes Lima
auth0052,Trindade_ Nathália Maria Ariston
auth0053,Andrea Bayerl Mongim
auth0054,Santos_ Sales Augusto Dos 
auth0055, Cavalleiro_ Eliane 
auth0056, Barbosa_ Maria Inês Da Silva 
auth0057, Ribeiro_ Matilde
auth0058,Silva_ Guilherme Henrique Gomes Da
auth0059,Aparecida Das Graças Geraldo 
auth0060, Regina Maria Simões Puccinelli Tancredi
auth0061,Ana Paula de Oliveira Gomes
auth0062,Oliven_ Arabela Campos 
auth0063, Bello_ Luciane
auth0064,Daflon_ Verônica Toste 
auth0065, Feres Júnior_ João 
auth0066, Campos_ Luiz Augusto
auth0067,Toste Daflon_ Verônica 
auth0068, Feres_ Joao 
auth0069,Alves Cordeiro_ Ana Luisa
auth0070,Campos_ Luiz Augusto
auth0071,Sito_ Luanda
auth0072,Wenczenovicz_ Thaís Janaina 
auth0073, Baez_ Narciso Leandro Xavier
auth0074,Cláudia Regina Costa Pacheco
auth0075,Lorenzo_ Rocío Alonso
auth0076,Santos_ Clarissa Tagliari
auth0077,Márcio Mucedula Aguiar
auth0078,Lima_ Márcia
auth0079,De Macedo Souza_ Felipe 
auth0080, Ferreira Da Fonseca_ Gabriel
auth0081,Nery_ Maria Da Penha 
auth0082, Costa_ Liana Fortunato
auth0083,Batista_ Neusa Chaves
auth0084,Marcelo Henrique Romano Tragtenberg
auth0085,Andrea Hermínia A- Oliveira 
auth0086, Paulo S- C- Neves
auth0087,Ribeiro_ Matilde
auth0088,Neves_ Paulo S- C 
auth0089, Faro_ André 
auth0090, Schmitz_ Heike
auth0091,Iensue_ Geziela 
auth0092, De Carvalho_ Luciani Coimbra
auth0093,Gabriel Silvério_ Vinícius
auth0094,Weller_ Wivian 
auth0095, Silveira_ Marly
auth0096,Marcelo Pagliosa Carvalho
auth0097,Rodrigo Goldschmidt_ Doutor Em Direito (Ufsc)_ Professor Unoesc_ Brasil
auth0098,Gisela Maria Bester
auth0099,Campos_ Larissa Couto 
auth0100, Machado_ Thalyson Renan Bitencourt 
auth0101, Miranda_ Gilberto José 
auth0102, Costa_ Patrícia de Souza
auth0103,Luana Mateus de Sousa 
auth0104, Carlos Rafael Vieira Caxile 
auth0105, Ana Lúcia Nobre Da Silveira 
auth0106, Elcimar Simão Martins
auth0107,Diogo Barbosa Figueredo 
auth0108, Marcelo Inácio Ferreira Ferraz 
auth0109, Moema Maria Badaró Cartibani Midlej
auth0110,Dos Santos_ José Antônio 
auth0111, Garcia De Mello_ Luciana
auth0112,André Leonardo Copetti Santos 
auth0113, Rosângela Angelin 
auth0114, Evelyne Freistedt
auth0115,Cristiane Lourenço Teixeira
auth0116, Moema Moema Maria Badaró Cartibani Midlej
auth0117,Carlos Benedito Rodrigues Da Silva
auth0118,Cervi_ Emerson Urizzi
auth0119,Roseli Teresinha Michaloski Alves
auth0120,Queiroz_ Delcele Mascarenhas 
auth0121, Santos_ Jocélio Teles Dos
auth0122,Camino_ Leoncio 
auth0123, Leite Tavares_ Talita 
auth0124, Rosas Torres_ Ana Raquel 
auth0125, Álvaro Estramiana_ José Luis 
auth0126, Garrido Luque_ Alicia
auth0127,Cardoso_ Paulino De Jesus Francisco
auth0128,Rodrigo Goldschmidt 
auth0129, Rodrigo Espiúca Dos Anjos Siqueira
auth0130,Ivanise Monfredini 
auth0131, Marcia Feldman
auth0132,Mangueira Carvalho_ Emanuel 
auth0133, Sánchez Gamboa_ Silvio
auth0134,Costa_ Ilton Garcia 
auth0135, Navas_ Ana Pavanini
auth0136,Clóvis Gorczevski 
auth0137, Rosane Beatris Mariano Da Rocha Barcelos Terra
auth0138,Dos Santos_ Sales Augusto 
auth0139, Barbosa_ Maria Ines Da Silva 
auth0140,Araujo_ Luis Claudio Martins 
auth0141, Viegas_ Tiago Machado
auth0142,de Lemos_ Isabele Batista
auth0143,Lima_ Fernanda Da Silva 
auth0144, Beninca_ Alexsandra Pizzetti
auth0145,Baía_ Paulo
auth0146,Leite_ Janete Luzia
auth0147,Kátia Denise Moreira 
auth0148, Mércia Pereira 
auth0149, Sirlene Silveira de Amorim 
auth0150, Luís Moretto Neto
auth0151,Kim_ Richard Pae 
auth0152, Tommasiello_ Flavia Carneiro
auth0153,Iuri Bolesina 
auth0154, Tássia Aparecida Gervasoni
auth0155,Santos_ Sales Augusto Dos
auth0156,Piovesan_ Flávia
auth0157,Barrozo_ Paulo Daflon
auth0158,Flavia Piovesan
auth0159,Piovesan_ Flavia
auth0160,Hofbauer_ Andreas
auth0161,Moreira_ Claudia Regina Baukat Silveira 
auth0162, Silva_ Paulo Vinicius Baptista Da
auth0163,Andreas Hofbauer
auth0164,Ferreira_ N-T-
auth0165,da Silva_ G-H-G-
auth0166,Pautassi_ Laura C
auth0167,Danielle Annoni
auth0168,Hofbauer_ A-
auth0169,Campo_ V-M-G- 
auth0170, Giraldo_ J-E-C-
auth0171,Silva_ Graziella Moraes Dias Da
auth0172,Rodrigues_ Tatiane Cosentino 
auth0173, Cardoso_ Ivanilda Amado 
auth0174, Da Silva_ Andreia Rosalina
auth0175,Cantarino_ Carolina
auth0176,Graziella Moraes Dias Da Silva
auth0177,Vanali_ A-C- 
auth0178, Da Silva_ P-V-B-
auth0179,Silva Ferreira_ Sandro Augusto
auth0180,Bevilaqua_ Ciméa Barbato
auth0181,Pena_ Sérgio D-J 
auth0182, Bortolini_ Maria Cátira
auth0183,Agra_ Klondy Lúcia de Oliveira
auth0184,Albuquerque_ Rosa Almeida Freitas 
auth0185, Pedron_ Cristiane Drebes 
auth0186, Quoniam_ Luc
auth0187,Jorge Enrique Celis-Giraldo
auth0188,Soares_ Claudete
auth0189,Roger Raupp Rios
auth0190,Sabrina Olimpio Caldas de Castro 
auth0191, Fernanda Maria de Almeida 
auth0192, Rafael Morais Pereira 
auth0193, Humberto Rodrigues Marques 
auth0194, José Estevam Chaves Braga
auth0195,Zilda Martins Barbosa
auth0196,André Pires 
auth0197, Bruna Mara Da Silva Wargas
auth0198,Alexandre Da Silva de Paula 
auth0199, Carlos Roberto Waidemam 
auth0200, Eder Aparecido de Carvalho
auth0201,Aline Marques Marino
auth0202,Roseane Maria de Amorim 
auth0203, Andréa Giordanna Araujo Da Silva 
auth0204, Fabson Calixto Da Silva 
auth0205, Igor Rafael Bispo Santos
auth0206,Mohr_ Naira Estela Roesler 
auth0207, Monteiro_ Felipe Mattos 
auth0208, Costa_ Joaquim Gonçalves 
auth0209, Oliveira_ João Costa de
auth0210,Bayma_ Fátima
auth0211,Miranda_ Analice Valdman de 
auth0212, Carvalho_ José Luis Felicio
auth0213,Norris_ Pippa
auth0214,Silva_ Ani Martins 
auth0215, Cymrot_ Raquel 
auth0216, D'Antino_ Maria Eloisa Famá
