Title,Link,Abstract,Author Keywords,Index Keywords
"UAV-based structural damage mapping: A review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077571589&doi=10.3390%2fijgi9010014&partnerID=40&md5=708dc44e5a994554c9b93087d0c269bd","Structural disaster damage detection and characterization is one of the oldest remote sensing challenges, and the utility of virtually every type of active and passive sensor deployed on various air- and spaceborne platforms has been assessed. The proliferation and growing sophistication of unmanned aerial vehicles (UAVs) in recent years has opened up many new opportunities for damage mapping, due to the high spatial resolution, the resulting stereo images and derivatives, and the flexibility of the platform. This study provides a comprehensive review of how UAV-based damage mapping has evolved from providing simple descriptive overviews of a disaster science, to more sophisticated texture and segmentation-based approaches, and finally to studies using advanced deep learning approaches, as well as multi-temporal and multi-perspective imagery to provide comprehensive damage descriptions. The paper further reviews studies on the utility of the developed mapping strategies and image processing pipelines for first responders, focusing especially on outcomes of two recent European research projects, RECONASS (Reconstruction and Recovery Planning: Rapid and Continuously Updated Construction Damage, and Related Needs Assessment) and INACHUS (Technological and Methodological Solutions for Integrated Wide Area Situation Awareness and Survivor Localization to Support Search and Rescue Teams). Finally, recent and emerging developments are reviewed, such as recent improvements in machine learning, increasing mapping autonomy, damage mapping in interior, GPS-denied environments, the utility of UAVs for infrastructure mapping and maintenance, as well as the emergence of UAVs with robotic abilities. © 2019 by the authors.","CNN; Computer vision; Drone; First responder; GAN; INACHUS; Machine learning; Point clouds; RECONASS",
"MAPPING POVERTY in the PHILIPPINES USING MACHINE LEARNING, SATELLITE IMAGERY, and CROWD-SOURCED GEOSPATIAL INFORMATION","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081564635&doi=10.5194%2fisprs-archives-XLII-4-W19-425-2019&partnerID=40&md5=61a7b9267d467c27ddbe6bc89699e166","Mapping the distribution of poverty in developing countries is essential for humanitarian organizations and policymakers to formulate targeted programs and aid. However, traditional methods for obtaining socioeconomic data can be time-consuming, expensive, and labor-intensive. Recent studies have demonstrated the effectiveness of combining machine learning and satellite images to estimate wealth in sub-Saharan African countries (Xie et al., 2016, Jean et al., 2016). In this study, we investigate the extent to which this method can be applied in the context of the Philippine archipelago to predict four different socioeconomic indicators: wealth level, years of education, access to electricity, and access to water. We also propose an alternative, cost-effective approach that leverages a combination of volunteered geographic information from OpenStreetMap and nighttime lights satellite imagery for estimating socioeconomic indicators. The best models, which incorporate regional indicators as predictors, explain approximately 63% of the variation in asset-based wealth. Our findings also indicate that models trained on publicly available, volunteer-curated geographic data achieve the same predictive performance as that of models trained using proprietary satellite images. © 2020 Authors.","Deep learning; GIS; Machine learning; OpenStreetMap; Poverty estimation; Remote sensing; Transfer learning; Volunteered geographic information","Cost effectiveness; Crowdsourcing; Deep learning; Developing countries; Geographic information systems; Mapping; Remote sensing; Satellite imagery; Transfer learning; Cost-effective approach; Geo-spatial informations; Night-time lights; OpenStreetMap; Predictive performance; Socio-economic data; Socio-economic indicators; Volunteered geographic information; Learning systems"
"Research on remote sensing image data attack method based on machine deep learning network","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081065949&doi=10.1145%2f3377713.3377787&partnerID=40&md5=5dd593639497e0e1e5fb575cad49a5e9","At present, with the breakthrough and application of in-depth learning technology in the field of artificial intelligence, the content of information acquired through interpretation of remote sensing images is more and more abundant, and how to guard information security has become a new technology hotspot. [1] In order to camouflage and conceal our important objects, it is necessary to attack the acquired remote sensing images to remove and confuse the target information and mislead the ""enemy"" to make wrong image analysis, which is a means to protect information security.[2] In this paper, the mainstream algorithm principle is introduced based on machine deep learning network technology. Aiming at remote sensing image data poisoning attack and sample attack in the process of deep learning network training, the purpose of tampering with original image data and hiding characteristic targets is realized. © 2019 ACM.","Data Attack; Deep Learning; Remote Sensing Image","Engineering education; Learning systems; Remote sensing; Security of data; Data attacks; Important object; Learning network; Learning technology; Original images; Poisoning attacks; Remote sensing images; Target information; Deep learning"
"Remote sensing and time series data fused multimodal prediction model based on interaction analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081181890&doi=10.1145%2f3376067.3376100&partnerID=40&md5=f2bd5b26d16f91983d468662d2ccba41","With the rapid development of the times, human's life is becoming more and more modern, helping people experience surrounding environment better. People can see attractive scenery, hear marvelous voice, smell fragrant flavor, touch soft objects and taste delicious food. All these feelings can be generalized by 'Modality'. As there are heterogeneous modalities, the way to learning from multiple such modalities become an emerging research topic. Multimodal machine learning has a wide range of applications while it still has many challenges. Challenges can be included in five categories: Representation, Translation, Alignment, Fusion, Co-learning. In this paper, we focus on the representation and fusion problem of multimodal and solve a practical problem of urban functional area classification. In this paper, we propose a scalable interaction model based on Squeezeand-Excitation block to fuse image modality from remote sensing images and temporal modality from user visit sequence. Crucially, our model produces improvements over typical multimodal methods. © 2019 Association for Computing Machinery.","Deep learning; Multi-classification; Multimodal; Remote sensing image; Time series data","Deep learning; Image processing; Time series; Time series analysis; Video signal processing; Interaction analysis; Multi-classification; Multi-modal; Practical problems; Remote sensing images; Surrounding environment; Temporal modalities; Time-series data; Remote sensing"
"Refining the features transferred from pre-trained inception architecture for aerial scene classification","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067875541&doi=10.1080%2f01431161.2019.1629716&partnerID=40&md5=e2f849fe58568f3c1b41bff94389eec7","Feature selection plays a vital role in image classification task. With the advent of deep learning, significant efforts have been made in developing deep architectures with the aim of getting relevant features. Moreover, deep architectures require large number of training data and also the training time is very high. Due to scarcity of high-dimensional remote-sensing images, many researchers adopted pre-trained deep architectures as feature extractors. When transferring these large number of features to train the classification layer, the network still overfits, yielding inaccurate classification results. To overcome this issue to some extent, we proposed two feature ranking methods to further refining the features transferred from pre-trained inception architecture for scene classification task. Another important fact is that down sampling large images to the input size of the pre-trained architecture causes loss of some informative pixels, so in our framework, we fed image patches of size equal to the size of the input layer of the pre-trained inception and then the features extracted from all the patches are combined. Finally, we compared our framework with some existing methods and obtained acceptable results. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",,"Antennas; Deep learning; Image processing; Importance sampling; Network layers; Refining; Remote sensing; Classification results; Deep architectures; Feature extractor; Feature ranking; High-dimensional; Relevant features; Remote sensing images; Scene classification; Network architecture; aerial survey; architecture; conceptual framework; image analysis; image classification; pixel; remote sensing"
"Classification of the functions of urban area based on deep learning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086070149&doi=10.1145%2f3386415.3387103&partnerID=40&md5=e3c87378b9ece21035de305335cf0b2e","Classification of the Functions of Urban Area is of great significance to urban construction and refined management. High-resolution remote sensing images are widely used in urban area functional classification, and urban area functions are closely related to human activities. Therefore, in the urban area functional classification model, the effects of remote sensing images and user behavior will be significantly improved. Firstly, the remote sensing image acquired by the satellite is random. We need to delete the all black or all white image and then perform the defogging operation to make the feature more obvious; Secondly, the user behavior data is processed as a three-dimensional image according to the divided time; Finally, the densenet, resnet, se-resnext, inception network models are integrated to extract image data and text data for classification. The experimental results show that compared with other methods, our proposed method has a good effect on the classification of the functions of urban area which based on remote sensing image data and user behavior data. © 2019 ACM.","Image Classification; Model Fusion; Remote Sensing Image","Behavioral research; Image enhancement; Remote sensing; Text processing; Functional classification; High resolution remote sensing images; Human activities; Network models; Remote sensing images; Three dimensional images; Urban construction; User behaviors; Deep learning"
"Landslide detection of hyperspectral remote sensing data based on deep learning with constrains","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079317514&doi=10.1109%2fJSTARS.2019.2951725&partnerID=40&md5=1ac76a0cc8e1a99d54bc9846de84f0b0","Detecting and monitoring landslides are hot topics in remote sensing community, particularly with the development of remote sensing technologies and the significant progress of computer vision. To the best of our knowledge, no study focused on deep learning-based methods for landslide detection on hyperspectral images. We proposes a deep learning framework with constraints to detect landslides on hyperspectral image. The framework consists of two steps. First, a deep belief network is employed to extract the spectral-spatial features of a landslide. Second, we insert the high-level features and constraints into a logistic regression classifier for verifying the landslide. Experimental results demonstrated that the framework can achieve higher overall accuracy when compared to traditional hyperspectral image classification methods. The precision of the landslide detection on the whole image, obtained by the proposed method, can reach 97.91%, whereas the precision of the linear support vector machine, spectral information divergence, and spectral angle match are 94.36%, 84.50%, and 86.44%, respectively. Also, this article reveals that the high-level feature extraction system has a significant potential for landslide detection, especially in multi-source remote sensing. © 2008-2012 IEEE.","Deep belief network (DBN); deep learning; feature extraction; hyperspectral data; landslide","Extraction; Feature extraction; Landslides; Logistic regression; Remote sensing; Spectroscopy; Support vector machines; Deep belief network (DBN); High-level feature extractions; Hyperspectral Data; Hyperspectral remote sensing data; Linear Support Vector Machines; Logistic regression classifier; Remote sensing technology; Spectral information divergences; Deep learning; image classification; landslide; machine learning; numerical model; regression analysis; remote sensing; satellite data; satellite imagery"
"Next generation mapping: Combining deep learning, cloud computing, and big remote sensing data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076550652&doi=10.3390%2frs11232881&partnerID=40&md5=95b7e65d6b45d1317d23fe7e215d2a55","The rapid growth of satellites orbiting the planet is generating massive amounts of data for Earth science applications. Concurrently, state-of-the-art deep-learning-based algorithms and cloud computing infrastructure have become available with a great potential to revolutionize the image processing of satellite remote sensing. Within this context, this study evaluated, based on thousands of PlanetScope images obtained over a 12-month period, the performance of three machine learning approaches (random forest, long short-term memory-LSTM, and U-Net). We applied these approaches to mapped pasturelands in a Central Brazil region. The deep learning algorithms were implemented using TensorFlow, while the random forest utilized the Google Earth Engine platform. The accuracy assessment presented F1 scores for U-Net, LSTM, and random forest of, respectively, 96.94%, 98.83%, and 95.53% in the validation data, and 94.06%, 87.97%, and 82.57% in the test data, indicating a better classification efficiency using the deep learning approaches. Although the use of deep learning algorithms depends on a high investment in calibration samples and the generalization of these methods requires further investigations, our results suggest that the neural network architectures developed in this study can be used to map large geographic regions that consider a wide variety of satellite data (e.g., PlanetScope, Sentinel-2, Landsat-8). © 2019 by the authors.","Deeplearning; LSTM; LULC classification; Machine learning; Planet Scope; Randomforest; U-Net","Cloud computing; Decision trees; Earth (planet); Image processing; Investments; Learning algorithms; Learning systems; Long short-term memory; Machine learning; Network architecture; Orbits; Remote sensing; Satellites; Classification efficiency; Cloud computing infrastructures; Learning-based algorithms; LSTM; Machine learning approaches; Randomforest; Satellite remote sensing; Science applications; Deep learning"
"Remote sensing and texture image classification network based on deep learning integrated with binary coding and sinkhorn distance","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076561725&doi=10.3390%2frs11232870&partnerID=40&md5=09eda4af82fc5f44ad65223656b28b6b","In the past two decades, traditional hand-crafted feature based methods and deep feature based methods have successively played the most important role in image classification. In some cases, hand-crafted features still provide better performance than deep features. This paper proposes an innovative network based on deep learning integrated with binary coding and Sinkhorn distance (DBSNet) for remote sensing and texture image classification. The statistical texture features of the image extracted by uniform local binary pattern (ULBP) are introduced as a supplement for deep features extracted by ResNet-50 to enhance the discriminability of features. After the feature fusion, both diversity and redundancy of the features have increased, thus we propose the Sinkhorn loss where an entropy regularization term plays a key role in removing redundant information and training the model quickly and efficiently. Image classification experiments are performed on two texture datasets and five remote sensing datasets. The results show that the statistical texture features of the image extracted by ULBP complement the deep features, and the new Sinkhorn loss performs better than the commonly used softmax loss. The performance of the proposed algorithm DBSNet ranks in the top three on the remote sensing datasets compared with other state-of-the-art algorithms. © 2019 by the authors.","Deep features; Hand-crafted features; Image classification; Sinkhorn loss","Binary codes; Deep learning; Image classification; Image coding; Image enhancement; Image texture; Network coding; Remote sensing; Textures; Classification networks; Deep features; Feature-based method; Hand-crafted features; Regularization terms; State-of-the-art algorithms; Statistical texture features; Uniform local binary patterns; Classification (of information)"
"Analysis of remote sensing imagery for disaster assessment using deep learning: a case study of flooding event","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062834349&doi=10.1007%2fs00500-019-03878-8&partnerID=40&md5=bcb5be80f292cf83539f03c74b46f8c5","This paper proposes a methodology that integrates deep learning and machine learning for automatically assessing damage with limited human input in hundreds of thousands of aerial images. The goal is to develop a system that can help automatically identifying damaged areas in massive amount of data. The main difficulty consists in damaged infrastructure looking very different from when undamaged, likely resulting in an incorrect classification because of their different appearance, and the fact that deep learning and machine learning training sets normally only include undamaged infrastructures. In the proposed method, a deep learning algorithm is firstly used to automatically extract the presence of critical infrastructure from imagery, such as bridges, roads, or houses. However, because damaged infrastructure looks very different from when undamaged, the set of features identified can contain errors. A small portion of the images are then manually labeled if they include damaged areas, or not. Multiple machine learning algorithms are used to learn attribute–value relationships on the labeled data to capture the characteristic features associated with damaged areas. Finally, the trained classifiers are combined to construct an ensemble max-voting classifier. The selected max-voting model is then applied to the remaining unlabeled data to automatically identify images including damaged infrastructure. Evaluation results (85.6% accuracy and 89.09% F1 score) demonstrated the effectiveness of combining deep learning and an ensemble max-voting classifier of multiple machine learning models to analyze aerial images for damage assessment. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","Damage assessment; Deep learning; Image classification; Machine learning; Spatiotemporal data; TensorFlow","Antennas; Bridges; Classification (of information); Damage detection; Deep learning; Image analysis; Image classification; Learning systems; Machine learning; Remote sensing; Damage assessments; Damaged infrastructure; Evaluation results; Multiple machine; Remote sensing imagery; Spatio-temporal data; TensorFlow; Voting classifiers; Learning algorithms"
